scope	n_epochs	r	ci_low	ci_high	permutation_p
cohort	160	0.4042	0.3359	0.4682	0.005
sub-01	32	0.3372	n/a	n/a	n/a
sub-02	32	0.4666	n/a	n/a	n/a
sub-03	32	0.4478	n/a	n/a	n/a
sub-04	32	0.3861	n/a	n/a	n/a
sub-05	32	0.3776	n/a	n/a	n/a
